compound_name,cas_number,smiles,primary_category,secondary_category,tertiary_category,primary_action,biological_description,Mol Weight
(+/-)-Vesamicol hydrochloride,[120447-62-3],O[C@@H]1CCCC[C@H]1N(CC3)CCC3C2=CC=CC=C2.Cl,Transporters,Neurotransmitter Transporters,Acetylcholine Transporters,Inhibits ACh transport,Inhibitor of acetylcholine transport (Ki = 2 nM). Centrally active following systemic administration in vivo.,295.85
(R)-(-)-Rolipram,[85416-75-7],O=C1NC[C@@H](C2=CC(OC3CCCC3)=C(OC)C=C2)C1,Enzymes,Phosphodiesterases,,PDE4 inhibitor. More active enantiomer of rolipram (Cat. No. 0905),More active enantiomer of the PDE4 inhibitor rolipram; 2-10-fold more potent than the S-(+) enantiomer. Available as part of the Phosphodiesterase Inhibitor Tocriset™. Racemate and S-enantiomer also available.,275.35
(R)-CR8,[1786438-30-9],CC(C)N2C1=NC(N[C@H](CC)CO)=NC(NCC3=CC=C(C4=NC=CC=C4)C=C3)=C1N=C2.Cl.Cl.Cl,Enzymes,Kinases,Cyclin-dependent Kinase,Cdk inhibitor; potently inhibits cdk1 and cdk2; also inhibits CK1,"Cyclin dependent kinase (cdk) inhibitor (reported IC50 values are 0.036 - 0.07, 0.09 - 0.8, 0.13 - 0.68, 0.18 - 1 and >1 muM for cdk2, cdk1, cdk5, cdk9 and cdk7, respectively). Also inhibits casein kinase 1 (CK1; IC50 = 0.6 muM).",540.92
(R)-DRF053 dihydrochloride,[1241675-76-2],CC(C)N2C1=NC(N[C@H](CC)CO)=NC(NC3=CC(C4=NC=CC=C4)=CC=C3)=C1N=C2.Cl.Cl,Enzymes,Kinases,Casein Kinase 1,Potent CK1 inhibitor; also inhibits cyclin-dependent kinases,"Potent casein kinase 1 (CK1) inhibitor (IC50 = 14 nM). Also an ATP-competitive cyclin-dependent kinase (cdk) inhibitor (IC50 values are 0.093 - 0.29, 0.21 and 0.82 muM for cdk2, cdk5 and cdk7, respectively). Shown to inhibit amyloid-beta production in N2A-APP695 cells.",490.43
(RS)-(+/-)-Sulpiride,[15676-16-1],CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,7-TM Receptors,Dopamine Receptors,Non-selective Dopamine,Standard selective D2-like antagonist,Standard D2-like dopamine receptor antagonist. S-enantiomer also available.,341.42
(S)-(-)-Sulpiride,[23672-07-3],NS(C1=CC(C(NC[C@]2([H])CCCN2CC)=O)=C(OC)C=C1)(=O)=O,7-TM Receptors,Dopamine Receptors,Non-selective Dopamine,Standard selective D2-like antagonist,"Active enantiomer. Selective D2-like dopamine antagonist (Ki values are ~ 0.015. ~ 0.013, 1, ~ 45 and ~ 77 muM at D2, D3, D4, D1 and D5 receptors respectively). Racemate also available.",341.42
(S)-(+)-Ibuprofen,[51146-56-6],CC(C)CC1=CC=C([C@H](C)C(O)=O)C=C1,Enzymes,Oxygenases/Oxidases,Cyclooxygenase,Cyclooxygenase inhibitor (COX-1 > COX-2),Non-steroidal anti-inflammatory drug (NSAID) that inhibits cyclooxygenase 1 and cyclooxygenase 2 (IC50 values are 12 and 80 muM respectively). Active isomer of ibuprofen.,206.28
(S)-(+)-Niguldipine hydrochloride,[113145-69-0],O=C(OC)C1=C(C)NC(C)=C(C(OCCCN3CCC(C4=CC=CC=C4)(C5=CC=CC=C5)CC3)=O)[C@H]1[C@]2=CC=CC([N+]([O-])=O)=C2.Cl,7-TM Receptors,Adrenergic Receptors,Adrenergic Alpha-1 Receptors,"alpha1 antagonist, L-type Ca2+ channel blocker",L-type Ca2+ channel blocker and alpha1A-adrenoceptor antagonist; more active enantiomer. R-enantiomer also available.,646.18
(S)-Duloxetine hydrochloride,[136434-34-9],CNCC[C@@H](C3=CC=CS3)OC2=CC=CC1=CC=CC=C12.Cl,Transporters,Neurotransmitter Transporters,5-HT Transporters,Potent 5-HT and NA reuptake inhibitor (SNRI); also blocks dopamine reuptake,"High affinity, competitive 5-HT and noradrenaline (NA) re-uptake inhibitor (Ki values are 8.5 and 45 nM for 5-HT and NA reuptake respectively in cortical synaptosomes; IC50 values are 28 and 46 nM for 5-HT and NA reuptake respectively in rat hippocampal slices). Also blocks dopamine reuptake (Ki = 300 nM in striatal synaptosomes). Exhibits antidepressant and anxiolytic effects. Orally bioavailable.",333.88
1-EBIO,[10045-45-1],CCN1C(=O)NC2=C1C=CC=C2,Ion Channels,Potassium Channels,Ca2+-Activated Potassium Channels,Activator of epithelial KCa channels,"Activator of epithelial KCa channels, stimulates a large and sustained trans-epithelial Cl- secretory response across T84 monolayers. Induces hyperpolarization to the same magnitude as ACh in aortic value endothelial cells. Promotes embryonic stem cell (ESC) differentiation into cardiomyocytes.",162.19
1-Naphthyl PP1,[221243-82-9],NC1=NC=NC2=C1C(C3=C4C(C=CC=C4)=CC=C3)=NN2C(C)(C)C,Enzymes,Kinases,Src Kinases,Src family kinase inhibitor; also inhibits c-Abl,"Selective inhibitor of src family kinases v-Src and c-Fyn as well as the tyrosine kinase c-Abl. (IC50 values are 1.0, 0.6, 0.6, 18 and 22 muM for v-Src, c-Fyn, c-Abl, CDK2 and CAMK II respectively). Preferentially inhibits mutant over wild-type kinases (IC50 values are 1.5 vs 1000 nM for I338G v-src and v-src respectively).",317.39
10-DEBC hydrochloride,[925681-41-0],Cl.CCN(CC)CCCCN1C2=CC=CC=C2OC2=C1C=C(Cl)C=C2,Enzymes,Kinases,Akt (Protein Kinase B),Selective Akt/PKB inhibitor,"Selective inhibitor of Akt/PKB. Inhibits IGF-1-stimulated phosphorylation and activation of Akt (complete inhibition at 2.5 muM), suppressing downstream activation of mTOR, p70 S6 kinase and S6 ribosomal protein. Shows no activity at PDK1, SGK1 or PI 3-kinase. Inhibits cell growth (IC50 ~ 2-6 muM) and induces apoptosis in rhabdomyosarcoma cells.",381.34
10058-F4,[403811-55-2],O=C(NC(S2)=S)/C2=C\C1=CC=C(CC)C=C1,Signal Transduction,MAPK Signaling,Myc,Inhibits c-Myc-Max dimerization,"Cell permeable c-Myc-Max dimerization inhibitor. Inhibits proliferation, induces apoptosis and arrests cells in G0/G1 in rat1a-c-Myc cells. Also reduces tumor growth in vivo.",249.35
2-Chloro-N6-cyclopentyladenosine,[37739-05-2],O[C@@H]1[C@@H](CO)O[C@@H](N(C=N4)C2=C4C(NC3CCCC3)=NC(Cl)=N2)[C@@H]1O,7-TM Receptors,Adenosine Receptors,Adenosine A1 Receptors,"Potent, selective A1 agonist","Potent and selective adenosine A1 receptor agonist (Ki values are 0.8, 2300 and 42 nM for human A1, A2A and A3 receptors respectively; EC50 = 18800 nM for hA2B). Centrally active following systemic administration in vivo.",369.81
2-Chloroadenosine,[146-77-0],O[C@@H]1[C@@H](CO)O[C@@H](N3C2=NC(Cl)=NC(N)=C2N=C3)[C@@H]1O,7-TM Receptors,Adenosine Receptors,Non-selective Adenosine,Adenosine receptor agonist,"Metabolically stable analog of adenosine that behaves as an adenosine receptor agonist (Ki values are 300, 80 and 1900 nM for A1, A2A and A3 receptors respectively). Anticonvulsive in vivo.",301.69
2-Methoxyestradiol,[362-07-2],OC1=C(OC)C=C2C(CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@]([H])3CC[C@@H]4O)=C1,Regulated Cell Death,Apoptosis,Apoptosis Inducers,Apoptotic and antiangiogenic agent,"Apoptotic, antiproliferative and antiangiogenic agent, in vitro and in vivo; acts via an estrogen receptor-independent mechanism. Induces p53-induced apoptosis via two pathways: activation of p38 and NF-kappaB; and activation of JNK and AP-1 leading to Bcl-2 phosphorylation. Also upregulates death receptor 5 and binds to tubulin, inhibiting its assembly.",302.41
2-Phenylmelatonin,[151889-03-1],COC1=CC=C2NC(=C(CCNC(C)=O)C2=C1)C1=CC=CC=C1,7-TM Receptors,Melatonin (MT) Receptors,,Potent melatonin agonist,Highly potent melatonin agonist; displays higher affinity and greater potency than melatonin itself. The EC50 values for G protein activation in MT1 and MT2-transfected cells are 65 and 58 pM respectively.,308.38
2-Pyridylethylamine dihydrochloride,[3343-39-3],Cl.Cl.NCCC1=NC=CC=C1,7-TM Receptors,Histamine Receptors,Histamine H1 Receptors,H1 agonist,Histamine H1 receptor agonist that produces vasoconstriction in vivo.,195.09
2'-MeCCPA,[205171-12-6],O[C@@H]1[C@@H](CO)O[C@@H](N2C=NC3=C2N=C(Cl)N=C3NC4CCCC4)[C@@](C)1O,7-TM Receptors,Adenosine Receptors,Adenosine A1 Receptors,Very selective and potent A1 receptor agonist,"Potent and highly selective agonist at A1 adenosine receptors (Ki values are 3.3, 9580, 37600 and 1150 nM for human recombinant A1, A2A, A2B and A3 receptors respectively). Acts as a full agonist; inhibits forskolin-stimulated adenylyl cyclase activity in rat cortical membranes with an IC50 value of 13.1 nM.",383.83
3-Bromo-7-nitroindazole,[74209-34-0],[O-][N+](=O)C1=C2NN=C(Br)C2=CC=C1,Enzymes,Synthases/Synthetases,NO Synthases,Selective nNOS inhibitor,Potent inhibitor of rat cerebellar nitric oxide synthase; more potent than 7-nitroindazole (Cat. No. 0602).,242.03
3'-Fluorobenzylspiperone maleate,[1135278-61-3],OC(=O)\C=C/C(O)=O.FC1=CC=C(C=C1)C(=O)CCCN1CCC2(CC1)N(CN(CC1=CC=CC(F)=C1)C2=O)C1=CC=CC=C1,7-TM Receptors,Dopamine Receptors,Non-selective Dopamine,D2-like receptor ligand,"A very potent and selective ligand for the D2 receptor (Ki = 0.023 nM). Compared with spiperone, displays a 2.5-fold greater affinity at D2 and a 12-fold lower affinity at 5-HT2 receptors.",619.67
4-CMTB,[300851-67-6],ClC1=CC=C(C(C(C)C)C(NC2=NC=CS2)=O)C=C1,7-TM Receptors,Free Fatty Acid Receptors,,FFA2 agonist; also exhibits positive allosteric modulatory activity,Free fatty acid receptor FFA2 agonist (pEC50 = 6.38) and positive allosteric modulator. Binds at a site distinct from the orthosteric site; modulates the activity of short-chain fatty acids at FFA2 via the FFA2 second extracellular loop (ECL2).,294.8
4-P-PDOT,[620170-78-7],CCC(=O)NC1CC(C2=CC=CC=C2)C2=C(C1)C=CC=C2,7-TM Receptors,Melatonin (MT) Receptors,,MT2 antagonist,"Melatonin receptor antagonist, >300-fold selective for the MT2 (vs MT1) subtype.",279.38
4-PPBP maleate,[201216-39-9],OC(=O)\C=C/C(O)=O.C(CCC1=CC=CC=C1)CN1CCC(CC1)C1=CC=CC=C1,Other Pharmacology,Sigma Receptors,Sigma-Related,"Specific sigma ligand, NMDA antagonist",sigma ligand and selective non-competitive antagonist at recombinant NR1a/2B NMDA receptors expressed in Xenopus oocytes.,409.52
4BP-TQS,[360791-49-7],BrC1=CC=C(C2NC(C=CC(S(=O)(N)=O)=C4)=C4C3C2CC=C3)C=C1,Ion Channels,Ligand-gated Ion Channels,Acetylcholine (Nicotinic) Receptors,alpha7 nAChR agonist; acts at an allosteric site,"Allosteric agonist at alpha7 nAChR. Binds at a separate site and exhibits more efficacious receptor agonism compared to acetylcholine (Cat. No. 2809), displays 8-fold lower EC50 value and 45-fold larger maximal response.",405.31
4E1RCat,[328998-25-0],O=C1N(C3=CC=C(C(O)=O)C=C3)C(C4=CC=CC=C4)=C/C1=C\C2=CC=C(C5=CC=C([N+]([O-])=O)C=C5)O2,Enzymes,GTPases,Protein-synthesizing GTPases,Inhibits eIF4F subunit interaction; inhibits protein translation,Inhibitor of protein translation; blocks eIF4E:eIF4G and eIF4E:4E-BP1 interaction. Prevents assembly of the eIF4F complex and inhibits cap-dependent translation (IC50 ~4 muM). Exhibits chemosensitizing properties.,478.45
4F 4PP oxalate,[144734-36-1],OC(=O)C(O)=O.FC1=CC=C(C=C1)C(=O)C1CCN(CCCCC2=CC=CC=C2)CC1,7-TM Receptors,5-HT Receptors,5-HT2 Receptors,Selective 5-HT2A antagonist,A selective 5-HT2A antagonist with almost as high affinity (Ki = 5.3 nM) as ketanserin but with a much lower affinity for 5-HT2C sites (Ki = 620 nM).,429.49
5-Azacytidine,[320-67-2],O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1N2C(N=C(N)N=C2)=O,Enzymes,Transferases,DNA Methyltransferases,DNA methyltransferase inhibitor,"DNA methyltransferase inhibitor. Incorporates into DNA forming covalent adducts with cellular DNMT1, depleting enzyme activity. Induces demethylation and reactivation of silenced genes. Improves the efficiency of reprogramming of stem cells; induces differentiation of mesenchymal stem cells into cardiomyocytes.",244.2
5-BDBD,[768404-03-1],BrC1=CC(C(C3=C4C2=C(O3)C=CC=C2)=NCC(N4)=O)=CC=C1,Ion Channels,Ligand-gated Ion Channels,P2X Receptors,Potent and selective P2X4 antagonist,Potent and selective P2X4 receptor antagonist. Blocks P2X4-mediated currents in Chinese hamster ovary cells (IC50 = 0.50 muM). Exhibits no significant antagonist effects at other P2X receptors. Reduces long-term potentiation (LTP) in rat hippocampal slices.,355.19
6-Chloromelatonin,[63762-74-3],COC1=C(Cl)C=C2NC=C(CCNC(C)=O)C2=C1,7-TM Receptors,Melatonin (MT) Receptors,,Melatonin agonist,Potent melatonin agonist (pKi values are 9.10 and 9.77 for human recombinant MT1 and MT2 receptors respectively). Displays higher affinity for binding to hamster brain membrane and chicken retina than melatonin.,266.73
7-Chlorokynurenic acid,[18000-24-3],OC(=O)C1=CC(O)=C2C=CC(Cl)=CC2=N1,Transporters,Neurotransmitter Transporters,Glutamate Transporters,Potent competitive inhibitor of L-glutamate uptake,NMDA receptor antagonist acting at the glycine site. Potent competitive inhibitor of L-glutamate transport into synaptic vesicles. Available as part of the NMDA Receptor - Glycine Site Tocriset™. Sodium Salt also available.,223.62
7-Hydroxy-DPAT hydrobromide,[76135-30-3],Br.CCCN(CCC)C1CCC2=CC=C(O)C=C2C1,7-TM Receptors,Dopamine Receptors,D3 Receptors,Dopamine agonist (D3 greater than or equal to D2 < > D4),"D3 dopamine receptor agonist (Ki values are ~ 1, 10, 650 and ~ 5000 nM for D3, D2, D4 and D1 receptors respectively). 8-Hydroxy Isomer also available.",328.28
7-Nitroindazole,[2942-42-9],[O-][N+](=O)C1=C2NN=CC2=CC=C1,Enzymes,Synthases/Synthetases,NO Synthases,Non-selective NOS inhibitor,"Reversible, competitive and non-selective NOS inhibitor. Monosodium Salt also available.",163.14
8-M-PDOT,[134865-70-6],CCC(=O)NC1CCC2=C(C1)C(OC)=CC=C2,7-TM Receptors,Melatonin (MT) Receptors,,Melatonin agonist,"Melatonin receptor agonist, 20-fold selective for the MT2 (vs MT1) subtype. At human recombinant MT1 and MT2 receptors, displays pKi values of 8.23 and 8.95 respectively.",233.31
A 1070722,[1384424-80-9],O=C(NC3=NC(C(F)(F)F)=CC=C3)NC2=CC=NC1=CC(OC)=CC=C12,Enzymes,Kinases,Glycogen Synthase Kinase 3,"Highly potent, selective GSK-3 inhibitor","Potent glycogen synthase kinase-3 (GSK-3) inhibitor (Ki = 0.6 nM for GSK-3alpha and GSK-3beta). Displays high selectivity (> 50-fold) for GSK-3 over a panel of other kinases tested, including CDK family members. Decreases phosphorylation of microtubule-associated protein Tau in vitro; protects rat primary cortical neurons against beta amyloid and glutamate challenge. Brain penetrant.",362.31
A 1120,[1152782-19-8],O=C(NC3=C(C(O)=O)C=CC=C3)N1CCC(C2=C(C(F)(F)F)C=CC=C2)CC1,Other Pharmacology,Miscellaneous Compounds,,High affinity retinol-binding protein 4 (RBP4) ligand,High affinity retinol-binding protein 4 (RBP4) ligand (Ki = 8.3 nM); non-retinoid. Selective against a range of different cellular targets. As efficacious as fenretinide (Cat. No. 1396) in the reduction of serum RBP4 and retinol. Displaces transthyretin (TTR) from RBP4-TTR complexes.,392.37
A 205804,[251992-66-2],CC1=CC=C(SC2=C3C=C(SC3=CN=C2)C(N)=O)C=C1,Enzyme-Linked Receptors,Integrins,,Selective inhibitor of E-selectin and ICAM-1 expression,"Selective inhibitor of E-selectin and ICAM-1 expression (IC50 values are 20, 25 and > 1000 nM for TNF-alpha-induced E-selectin, ICAM-1 and VCAM-1 expression respectively). Effective inhibitor of cell-cell adhesion in an in vitro flow experiment.",300.39
A 366,[1527503-11-2],COC1=C(OCCCN4CCCC4)C=C(N=C(N)C32CCC3)C2=C1,Enzymes,Transferases,Lysine Methyltransferases,Potent and selective G9a/GLP inhibitor,Potent and selective G9a/GLP histone lysine methyltransferase inhibitor (IC50 = 3.3 nM). Exhibits >1000-fold selectivity for G9a/GLP over 21 other methyltransferases. Decreases levels of lysine 9 dimethylation on histone H3 (H3K9Me2) in PC3 cells.,329.44
A 412997 dihydrochloride,[1347744-96-0],O=C(CN2CCC(C3=CC=CC=N3)CC2)NC1=CC=CC(C)=C1.Cl.Cl,7-TM Receptors,Dopamine Receptors,D4 Receptors,Selective D4 agonist,Selective agonist for the dopamine D4 receptor (Ki values are 7.9 and 12.1 nM for human D4 and rat D4 receptors). Displays no affinity (<1000 nM) for other dopamine receptors. Shows efficacy in rat models of ADHD and short-term memory.,382.33
A 425619,[581809-67-8],O=C(NCC1=CC=C(C(F)(F)F)C=C1)NC2=CC=CC3=CN=CC=C32,Ion Channels,Transient Receptor Potential Channels,TRPV,Potent TRPV1 antagonist,"Potent TRPV1 antagonist (IC50 = 3-9 nM). Blocks capsaicin-evoked currents in rat DRG neurons and inhibits TRPV1-activation by anandamide (Cat. No. 1339) and N-arachidonoyl-dopamine. Reduces pain in inflammatory, postoperative and osteoarthritic in vivo pain models.",345.32
A 438079 hydrochloride,[899431-18-6],ClC1=C(C2=NN=NN2CC3=CN=CC=C3)C=CC=C1Cl.Cl,Ion Channels,Ligand-gated Ion Channels,P2X Receptors,Competitive P2X7 antagonist,Competitive P2X7 receptor antagonist (pIC50 = 6.9 for the inhibition of Ca2+ influx in the human recombinant P2X7 cell line). Devoid of activity at other P2 receptors (IC50 >> 10 muM). Possesses antinociceptive activity in models of neuropathic pain in vivo. Inhibits methamphetamine-induced microglial migration and phagocytosis in vitro.,342.61
A 582941,[848591-90-2],[H][C@@]12[C@@](CN(C3=CC=C(C4=CC=CC=C4)N=N3)C2)([H])CN(C)C1,Ion Channels,Ligand-gated Ion Channels,Acetylcholine (Nicotinic) Receptors,alpha7 nAChR partial agonist,Selective alpha7 nAChR partial agonist; exhibits high affinity for both rat and human alpha7 receptors (Ki values are 10.8 and 16.7 nM respectively). Displays ~15-fold selectivity for alpha7 over 5-HT3 receptors (Ki = 150 nM for 5-HT3).,280.37
A 740003,[861393-28-4],CC(C)(C)C(NC(CC3=CC(OC)=C(OC)C=C3)=O)N/C(NC2=CC=CC1=NC=CC=C12)=N/C#N,Ion Channels,Ligand-gated Ion Channels,P2X Receptors,Potent and selective P2X7 antagonist,Potent and selective P2X7 receptor antagonist (IC50 values are 18 and 40 nM for rat and human receptors respectively). Displays selectivity over a variety of P2X and P2Y receptors up to a concentration of 100 muM. Reduces nociception in animal models of persistent neuropathic and inflammatory pain. Also reduces neuroblastoma tumor growth in mice.,474.55
A 784168,[824982-41-4],O=C(NC3=CC=C(S(=O)(C(F)(F)F)=O)C=C3)C(CC2)=CCN2C1=C(C(F)(F)F)C=CC=N1,Ion Channels,Transient Receptor Potential Channels,TRPV,Potent and selective TRPV1 antagonist,"Potent TRPV1 antagonist (IC50 = 25 nM for inhibition of TRPV1 activation by 50 nM capsaicin). Displays no activity against a range of receptors, including TRPA1, GABA, opioid, and purinergic receptors.",479.4
A 803467,[944261-79-4],ClC(C=C2)=CC=C2C1=CC=C(C(NC3=CC(OC)=CC(OC)=C3)=O)O1,Ion Channels,Sodium Channels,Voltage-gated Sodium Channels,Selective NaV1.8 channel blocker,"Selective blocker of NaV1.8 channels (IC50 values are 8, 2450, 6740, 7340 and 7380 nM for hNaV1.8, hNaV1.3, hNaV1.7, hNaV1.5 and hNaV1.2 channels respectively). Shows no significant activity against TRPV1, P2X2/3, CaV2.2 and KCNQ2/3 channels. Antinociceptive; potently attenuates mechanical allodynia in two models of neuropathic pain following i.p. administration.",357.79
A 804598,[1125758-85-1],C[C@@H](C3=CC=CC=C3)NC(NC2=CC=CC1=NC=CC=C12)=NC#N,Ion Channels,Ligand-gated Ion Channels,P2X Receptors,Potent and selective P2X7 antagonist,"Potent, competitive P2X7 receptor antagonist (IC50 values are 8.9, 9.9 and 10.9 nM for mouse, rat and human P2X7 receptors respectively). Selective for P2X7 receptors (IC50 > 5-10 muM for a wide array of cell surface receptors and ion channels). Binds with high affinity (Ki app = 2.4 nM for rat P2X7 receptors).",315.37
A 839977,[870061-27-1],ClC(C(Cl)=CC=C4)=C4N1N=NN=C1NCC2=CC=CC=C2OC3=NC=CC=C3,Ion Channels,Ligand-gated Ion Channels,P2X Receptors,Potent P2X7 antagonist,"Potent P2X7 antagonist; blocks BzATP-evoked calcium influx at recombinant human, rat and mouse P2X7 receptors (IC50 values are 20, 42 and 150 nM respectively). Displays antinociceptive effects in rat and mice models of inflammatory pain. CNS penetrant.",413.26
A 867744,[1000279-69-5],O=C(CC)C1=C(C)N(C3=CC=C(S(N)(=O)=O)C=C3)C(C2=CC=C(Cl)C=C2)=C1,Ion Channels,Ligand-gated Ion Channels,Acetylcholine (Nicotinic) Receptors,Positive allosteric modulator of alpha7 nAChRs,"Positive allosteric modulator of alpha7 nAChRs (IC50 values are 0.98 and 1.12 muM for human and rat alpha7 receptor ACh-evoked currents respectively, in X. laevis oocytes). Displays no activity at 5-HT3A, alpha3beta4 or alpha4beta2 nAChRs. Brain penetrant.",402.89
A 887826,[1266212-81-0],ClC1=C(OCCCC)C=CC(C2=CN=CC(C(NCC3=CC=CN=C3N4CCOCC4)=O)=C2)=C1,Ion Channels,Sodium Channels,Voltage-gated Sodium Channels,Potent voltage-dependent NaV1.8 channel blocker,Potent voltage-dependent NaV1.8 channel blocker (IC50 = 11 nM in recombinant human NaV1.8 channels). Reduces tactile allodynia in neuropathic rat models. 3- and 28-fold more potent at NaV1.8 channels compared to NaV1.2 and NaV1.7 channels respectively.,480.99
A 922500,[959122-11-3],O=[C@]([C@@H]3CCC[C@H]3[C@@](O)=O)C(C=C2)=CC=C2C1=CC=C(NC(NC4=CC=CC=C4)=O)C=C1,Enzymes,Transferases,Diacylglycerol O-Acyltransferase,Potent DGAT-1 inhibitor,"Diacylglycerol acyltransferase 1 (DGAT-1) inhibitor (IC50 values are 7 and 24 nM at human and mouse DGAT-1 respectively) that is devoid of activity at DGAT-2, ACAT1 or ACAT2. Induces significant weight loss without altering food intake, and decreases liver and plasma triglyceride levels in vivo. Orally active.",428.48
