commercial_name,alternative_name,clinical_phase,mechanism_of_action,target,disease_area,indication
Adenine,,Preclinical,protein synthesis stimulant,ACACB|ACP1|APRT|MTAP|PECR|SRPK2,,
Adenine,,Preclinical,protein synthesis stimulant,ACACB|ACP1|APRT|MTAP|PECR|SRPK2,,
Adenine,,Preclinical,protein synthesis stimulant,ACACB|ACP1|APRT|MTAP|PECR|SRPK2,,
Adenosine,Adenocard,Launched,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4,cardiology,Wolff-Parkinson-White Syndrome (WPW)
Adiphenine HCl,,Launched,acetylcholine receptor antagonist,CHRNA1,neurology/psychiatry,spasms
ADIPIODONE,,Launched,radiopaque medium,ALB,radiology,contrast agent
Adrucil,Fluorouracil,Launched,thymidylate synthase inhibitor,DPYD|TYMS,oncology,colorectal cancer|breast cancer|pancreatic cancer|gastric adenocarcinoma
Agomelatine,,Launched,melatonin receptor agonist|serotonin receptor antagonist,HTR2A|HTR2B|HTR2C|MTNR1A|MTNR1B,neurology/psychiatry,depression
Albendazole,Albenza,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis
Albendazole Oxide,Ricobendazole ,Launched,anthelmintic agent,,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis
Alendronate,Fosamax,Launched,bone resorption inhibitor,ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS,orthopedics,osteoporosis
ALENDRONATE SODIUM,,Launched,bone resorption inhibitor,ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS,orthopedics,osteoporosis
Alfacalcidol,,Launched,vitamin D receptor agonist,CYP27B1|VDR,endocrinology,vitamin D deficiency
ALFUZOSIN,,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|KCNH2,urology,benign prostatic hyperplasia (BPH)
Alfuzosin hydrochloride,Uroxatral ,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|KCNH2,urology,benign prostatic hyperplasia (BPH)
Alibendol,,Launched,antispasmodic,,gastroenterology,bile stimulation
Alibendol,,Launched,antispasmodic,,gastroenterology,bile stimulation
Aliskiren hemifumarate,Aliskiren-hemifumarate,Launched,renin inhibitor,REN,cardiology,hypertension
Allopurinol,Zyloprim,Launched,xanthine oxidase inhibitor,XDH,rheumatology|urology,gout|kidney stones
Allopurinol Sodium,Aloprim ,Launched,xanthine oxidase inhibitor,XDH,rheumatology|urology,gout|kidney stones
ALLOXAN monohydrate,,,,,,
ALOSETRON Hydrochloride,,Withdrawn,serotonin receptor antagonist,HTR3A,,
ALPRAZOLAM,,Launched,benzodiazepine receptor agonist,GABRA1,neurology/psychiatry,
Altrenogest,,Launched,progestogen hormone,PGR,endocrinology,estrus
Altretamine,Hexalen ,Launched,DNA synthesis inhibitor,,oncology,ovarian cancer
Alverine Citrate,,Launched,muscle relaxant,HTR1A,gastroenterology,irritable bowel syndrome|diverticular disease
Amantadine hydrochloride,Symmetrel,Launched,glutamate receptor antagonist,DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease
Amfebutamone,Bupropion,Launched,dopamine uptake inhibitor,CHRNA3|SLC6A2|SLC6A3,neurology/psychiatry,depression
AMG-073 HCl,Cinacalcet hydrochloride,Launched,calcium channel activator,CASR,endocrinology|nephrology|oncology,hyperparathyroidism|chronic kidney disease (CKD)|parathyroid carcinoma|hypercalcemia
Amidopyrine,,Launched,analgesic agent,,dermatology,dermatitis herpetiformis (DH)
Amikacin hydrate,,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections
Amikacin sulfate,,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections
AMIKACIN SULPHATE,,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections
Amiloride hydrochloride,Midamor ,Launched,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,cardiology,hypertension|congestive heart failure
Amiloride hydrochloride,Midamor,Launched,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,cardiology,hypertension|congestive heart failure
Aminocaproic acid,Amicar,Launched,plasminogen activator inhibitor,LPA|PLAT|PLG,hematology,fibrinolytic bleeding
AMINOGLUTETHIMIDE,,Launched,glucocorticoid receptor antagonist,CYP11A1|CYP19A1,endocrinology|oncology,Cushing's syndrome|breast cancer
Aminoglutethimide,Cytadren ,Launched,glucocorticoid receptor antagonist,CYP11A1|CYP19A1,endocrinology|oncology,Cushing's syndrome|breast cancer
Aminophylline,Truphylline,Launched,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3|HDAC2|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D,pulmonary,asthma|bronchitis|emphysema
Amiodarone HCl,,Launched,potassium channel blocker,ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2,cardiology,ventricular arrhythmias
AMISULPRIDE,,Launched,dopamine receptor antagonist,DRD2|DRD3|HTR2A|HTR7,neurology/psychiatry,psychosis|bipolar disorder|schizophrenia
Amitriptyline HCl,,Launched,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotoninÐnorepinephrine reuptake inhibitor (SNRI),ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR6|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1|SLC6A2|SLC6A4,neurology/psychiatry,depression
AMLEXANOX,,Launched,histamine receptor modulator,FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13,dental|pulmonary|ophthalmology|allergy,aphthous ulcers|asthma|conjunctivitis|allergic rhinitis
AMLODIPINE,,Launched,calcium channel blocker,CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1,cardiology,hypertension|chronic stable angina|vasospastic angina|coronary artery disease (CAD)
Amlodipine besylate,Norvasc ,Launched,calcium channel blocker,CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1,cardiology,hypertension|chronic stable angina|vasospastic angina|coronary artery disease (CAD)
Amlodipine besylate,Norvasc ,Launched,calcium channel blocker,CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1,cardiology,hypertension|chronic stable angina|vasospastic angina|coronary artery disease (CAD)
AMOROLFINE HCl,,Launched,membrane integrity inhibitor,,infectious disease,onychomycosis
Amorolfine Hydrochloride,,Launched,membrane integrity inhibitor,,infectious disease,onychomycosis
Amoxicillin,Amoxycillin ,Launched,penicillin binding protein inhibitor,CYP2C19|SLC15A1|SLC15A2|SLC22A6,infectious disease|gastroenterology,skin infections|duodenal ulcer disease|gonorrhea|ear infections|throat infections|genitourinary tract infections|respiratory tract infections
Amoxicillin sodium,Amox ,Launched,penicillin binding protein inhibitor,CYP2C19|SLC15A1|SLC15A2|SLC22A6,infectious disease|gastroenterology,skin infections|duodenal ulcer disease|gonorrhea|ear infections|throat infections|genitourinary tract infections|respiratory tract infections
Amphotericin B,Abelcet ,Launched,membrane permeability enhancer,,infectious disease,fungal infection
Ampicillin sodium,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,respiratory tract infections|meningitis|bacterial septicemia|endocarditis|urinary tract infections|gastrointestinal infections
AMPIROXICAM,,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry,pain relief
Amprenavir,Agenerase ,Launched,HIV protease inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
ANAGRELIDE HCl,,Launched,phosphodiesterase inhibitor,PDE3A,hematology|hematologic malignancy,thrombocythemia|myeloproliferative neoplasms
Anagrelide HCl,,Launched,phosphodiesterase inhibitor,PDE3A,hematology|hematologic malignancy,thrombocythemia|myeloproliferative neoplasms
ANASTROZOLE,,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
Anastrozole,,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
Aniracetam,,Launched,glutamate receptor agonist,DRD2|GRIA1|GRIA2|GRIA3|GRIA4|HTR2A,,
Antipyrine,,,,,,
Apatinib,YN968D1,Phase 3,RET tyrosine kinase inhibitor,CSK|KDR|KIT|RET,,
APRACLONIDINE HCl,,Launched,adrenergic receptor agonist,ADRA1A|ADRA2A|ADRA2B|ADRA2C,ophthalmology,glaucoma|intraocular pressure
Aprepitant,MK-0869,Launched,tachykinin antagonist,TACR1,gastroenterology,nausea|vomiting
ARBEKACIN SULPHATE,,Launched,,,infectious disease,
Arbidol HCl,,Launched,cytochrome P450 inhibitor,CYP3A4,infectious disease,influenza A virus infection
Arecoline,,Phase 1,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4,,
ARGATROBAN,,Launched,thrombin inhibitor,F2,hematology,heparin-induced thrombocytopenia (HIT)
Argatroban,,Launched,thrombin inhibitor,F2,hematology,heparin-induced thrombocytopenia (HIT)
ARIPIPRAZOLE,,Launched,serotonin receptor agonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7,neurology/psychiatry,depression|schizophrenia|bipolar disorder
Aripiprazole,Abilify ,Launched,serotonin receptor agonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7,neurology/psychiatry,depression|schizophrenia|bipolar disorder
ARTEMETHER,,Launched,antimalarial agent,ATP1A1,infectious disease,malaria
Artemether,SM-224,Launched,antimalarial agent,ATP1A1,infectious disease,malaria
ARTEMISININ,,Launched,DNA synthesis inhibitor,CYP2B6,infectious disease,malaria
Artemisinin,,Launched,DNA synthesis inhibitor,CYP2B6,infectious disease,malaria
ARTESUNATE,,Launched,DNA synthesis inhibitor,,infectious disease,malaria
Articaine HCl,,Launched,local anesthetic,,neurology/psychiatry,local anesthetic
Asenapine,,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|HRH1|HRH2|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7,neurology/psychiatry,schizophrenia|bipolar disorder
Aspartame,,Launched,,TAS1R2|TRPV1,,
Aspirin,Acetylsalicylic acid ,Launched,cyclooxygenase inhibitor,AKR1C1|ASIC3|EDNRA|HSPA5|IKBKB|NFKB1|NFKB2|NFKBIA|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|PTGS1|PTGS2|RPS6KA3|TP53,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
ASTEMIZOLE,,Withdrawn,histamine receptor antagonist,HRH1|KCNH1|KCNH2,,
Atazanavir sulfate,,Launched,HIV protease inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
ATOMOXETINE HCl,,Launched,norepinephrine transporter inhibitor,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
ATORVASTATIN CALCIUM,,Launched,HMGCR inhibitor,AHR|DPP4|HMGCR,neurology/psychiatry|cardiology,stroke|heart attack
Atorvastatin calcium,Lipitor ,Launched,HMGCR inhibitor,AHR|DPP4|HMGCR,neurology/psychiatry|cardiology,stroke|heart attack
Atovaquone,Atavaquone ,Launched,mitochondrial electron transport inhibitor,DHODH,infectious disease,pneumonia
ATRACURIUM Besylate,,Launched,acetylcholine receptor antagonist,CHRNA2,critical care|neurology/psychiatry,endotracheal intubation|muscle relaxant
Atracurium besylate,,Launched,acetylcholine receptor antagonist,CHRNA2,critical care|neurology/psychiatry,endotracheal intubation|muscle relaxant
Atropine,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,ophthalmology,cycloplegia|mydriasis|amblyopia
Avobenzone,Parsol 1789,Launched,UV blocker,TYR,dermatology,cosmetic|sunscreen lotion
Axitinib,,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|FLT1|FLT4|KDR|PLK4,oncology,renal cell carcinoma (RCC)
Azacitidine,Vidaza ,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)
Azacyclonol,,Preclinical,histamine receptor antagonist,HRH1,neurology/psychiatry,
AZASETRON HCl,,Launched,serotonin receptor antagonist,HTR3A|HTR3B,infectious disease,genitial herpes
Azasetron HCl,Y-25130,Launched,serotonin receptor antagonist,HTR3A|HTR3B,infectious disease,genitial herpes
Azatadine dimaleate,,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis
Azathioprine,"Azasan, Imuran ",Launched,dehydrogenase inhibitor,HPRT1|IMPDH1|PPAT,transplant|rheumatology,renal homotransplantation|rheumatoid arthritis
AZELASTINE HCl,,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis
Azelastine hydrochloride,Astelin ,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis
Azelnidipine,,Launched,calcium channel blocker,CACNA1C,cardiology,hypertension
Azilsartan,TAK-536,Launched,angiotensin receptor antagonist,AGTR1|AGTR2,cardiology,hypertension
Azilsartan Medoxomil,TAK-491,Launched,angiotensin receptor antagonist,AGTR1|AGTR2,cardiology,hypertension
AZITHROMYCIN,,Launched,bacterial 50S ribosomal subunit inhibitor,MLNR,infectious disease,pelvic inflammatory disease|pneumonia
Azithromycin,Zithromax ,Launched,bacterial 50S ribosomal subunit inhibitor,MLNR,infectious disease,pelvic inflammatory disease|pneumonia
AZLOCILLIN SODIUM,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections|gram-negative bacterial infections
Azlocillin sodium salt,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections|gram-negative bacterial infections
AZTREONAM,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,urinary tract infections|respiratory tract infections|bacterial septicemia|skin infections|intra-abdominal infections|gynecologic infections
Aztreonam,"Azactam, Cayston ",Launched,bacterial cell wall synthesis inhibitor,,infectious disease,urinary tract infections|respiratory tract infections|bacterial septicemia|skin infections|intra-abdominal infections|gynecologic infections
Bacitracin zinc,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,first-aid antibiotic
BALOFLOXACIN,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections
Balofloxacin,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections
BAMBUTEROL Hydrochloride,,Launched,adrenergic receptor agonist,ADRB2|BCHE,pulmonary,asthma
BAMBUTEROL Hydrochloride,,Launched,adrenergic receptor agonist,ADRB2|BCHE,pulmonary,asthma
BENAZEPRIL,,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
Benazepril hydrochloride,,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
Bendamustine HCL,,Launched,DNA inhibitor,,hematologic malignancy,chronic lymphocytic leukemia (CLL)|non-Hodgkin lymphoma (NHL)
BENIDIPINE HCl,,Launched,calcium channel blocker,CACNA1C|CACNA1G,cardiology,hypertension
BENPROPERINE PHOSPHATE,,Launched,antitussive,SCN5A,pulmonary,cough suppressant
Benserazide,,Launched,DOPA decarboxylase inhibitor,DDC,neurology/psychiatry,Parkinson's Disease
Benztropine mesylate,,Launched,acetylcholine receptor antagonist,CHRM1|HRH1|SLC6A3,neurology/psychiatry,extrapyramidal symptoms (EPS)|Parkinson's Disease
Bepotastine Besilate,,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis
BERBERINE HCl,,Phase 2/Phase 3,LDL receptor activator,LDLR,,
Besifloxacin HCl,Besivance ,Launched,bacterial DNA gyrase inhibitor,,ophthalmology,conjunctivitis
Beta Carotene,,Launched,,,,
Betahistine 2HCl,,Launched,histamine receptor agonist|histamine receptor antagonist,HRH1|HRH3,neurology/psychiatry,Meniere's disease
Betamethasone,Celestone ,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
Betamethasone Dipropionate,Diprolene ,Launched,anti-inflammatory agent,,dermatology,corticosteroid-responsive dermatoses
Betamethasone valerate,Betnovate,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
Betapar,Meprednisone,Launched,,NR3C1,,
Betaxolol HCl,Betoptic ,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
Bethanechol chloride,,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4,urology,urinary retention
Bexarotene,,Launched,retinoid receptor agonist,RXRA|RXRB|RXRG,hematologic malignancy,cutaneous T-cell lymphoma (CTCL)
Biapenem,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,bacterial septicemia|pneumonia|urinary tract infections
BIBR 953,"Dabigatran etexilate, Pradaxa ",Launched,thrombin inhibitor,F2,neurology/psychiatry|hematology,stroke|systemic embolism|pulmonary embolism (PE)|deep vein thrombosis (DVT)
BIBR-1048,Dabigatran ,Launched,thrombin inhibitor,F2,neurology/psychiatry|hematology,stroke|systemic embolism|pulmonary embolism (PE)|deep vein thrombosis (DVT)
BICALUTAMIDE,,Launched,androgen receptor antagonist,AR,oncology,prostate cancer
Bicalutamide,Casodex,Launched,androgen receptor antagonist,AR,oncology,prostate cancer
BIFONAZOLE,,Launched,sterol demethylase inhibitor,CYP2B6,infectious disease,tinea pedis|tinea cruris
Bifonazole,,Launched,sterol demethylase inhibitor,CYP2B6,infectious disease,tinea pedis|tinea cruris
Bimatoprost,,Launched,prostanoid receptor agonist,AKR1C3|PTGER1|PTGER3|PTGFR,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
Bindarit,,Phase 2,NFkB pathway inhibitor,CCL2|CCL7|CCL8,,
Biotin,Vitamin B7,Launched,vitamin B,ACACA|ACACB|HLCS|MCCC1|MCCC2|PC|PCCA|PCCB|SLC5A6,,
Biperiden HCl,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,neurology/psychiatry,Parkinson's Disease
BISACODYL,,Launched,laxative,,gastroenterology,constipation
Bisoprolol,,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,hypertension
BISOPROLOL FUMARATE,,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,hypertension
Bleomycin sulfate,,Launched,DNA synthesis inhibitor,LIG1|LIG3,hematologic malignancy|pulmonary|oncology,non-Hodgkin lymphoma (NHL)|Hodgkin's lymphoma|pleural effusion|testicular carcinoma|squamous cell carcinoma
Blonanserin,Lonasen ,Launched,dopamine receptor antagonist|serotonin receptor antagonist,DRD2|HTR2A,neurology/psychiatry,schizophrenia
Bortezomib,Velcade,Launched,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
BRIMONIDINE D-TARTRATE,,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
BROMHEXINE HCl,,Launched,mucolytic agent,,pulmonary,chest congestion
Bromhexine HCl,,Launched,mucolytic agent,,pulmonary,chest congestion
Brompheniramine,,Launched,histamine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1,allergy|otolaryngology,allergic rhinitis|common cold
BROMPHENIRAMINE MALEATE,,Launched,histamine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1,allergy|otolaryngology,allergic rhinitis|common cold
Budesonide,,Launched,glucocorticoid receptor agonist,NR3C1,gastroenterology,Crohn's disease
Bufexamac,,Withdrawn,cyclooxygenase inhibitor,HDAC10|HDAC6,,
Buflomedil HCl,,Launched,adrenergic receptor antagonist|calcium channel blocker,ADRA1A,cardiology,peripheral artery disease (PAD)
BUFLOMEDIL Hydrochloride,,Launched,adrenergic receptor antagonist|calcium channel blocker,ADRA1A,cardiology,peripheral artery disease (PAD)
Bumetanide,,Launched,solute carrier family member inhibitor,CFTR|GPR35|SLC12A1|SLC12A2|SLC12A4|SLC12A5,cardiology,edema|congestive heart failure
Bupivacaine hydrochloride,Marcain ,Launched,sodium channel blocker,KCNA5|PTGER1|SCN10A|SCN4A,neurology/psychiatry,peripheral nerve block|caudal epidural block|lumbar epidural block
Bupivacaine hydrochloride,Marcain,Launched,sodium channel blocker,KCNA5|PTGER1|SCN10A|SCN4A,neurology/psychiatry,peripheral nerve block|caudal epidural block|lumbar epidural block
Busulfan,"Myleran, Busulfex",Launched,DNA inhibitor,,hematologic malignancy,chronic myeloid leukemia (CML)
BUTENAFINE HCl,,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
BUTENAFINE HCl,,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
Butenafine HCl,,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
Butoconazole nitrate,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,vulvovaginal candidiasis
Cabazitaxel,Jevtana ,Launched,microtubule inhibitor,TUBA4A|TUBB|TUBB1,oncology,prostate cancer
Calcitriol,Rocaltrol ,Launched,vitamin D receptor agonist,VDR,endocrinology|orthopedics,hypocalcemia|hypoparathyroidism|osteoporosis
CAMOSTAT MESYLATE,,Launched,protease inhibitor,PRSS1,gastroenterology,pancreatitis
CAMPTOTHECIN,,Phase 3,topoisomerase inhibitor,TOP 1.00,oncology,
Camptothecin,,Phase 3,topoisomerase inhibitor,TOP 1.00,oncology,
Candesartan,Atacand ,Launched,angiotensin receptor antagonist,AGTR1,cardiology,hypertension|congestive heart failure
Candesartan cilexetil,Atacand ,Launched,angiotensin receptor antagonist,AGTR1|AGTR2,cardiology,hypertension|congestive heart failure
CANDESARTAN CILEXITIL,,Launched,angiotensin receptor antagonist,AGTR1|AGTR2,cardiology,hypertension|congestive heart failure
CAPECITABINE,,Launched,DNA synthesis inhibitor|thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer
Capecitabine,Xeloda,Launched,DNA synthesis inhibitor|thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer
Captopril,Capoten ,Launched,angiotensin converting enzyme inhibitor,ACE|LTA4H|MMP2|MMP9,cardiology|endocrinology|nephrology,hypertension|congestive heart failure|myocardial infarction|diabetes mellitus|diabetic nephropathy
Carbamazepine,Carbatrol,Launched,carboxamide antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
Carbazochrome sodium sulfonate,,Launched,,,hematology,hemorrhage
Carbenicillin disodium,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-negative bacterial infections
CARBIDOPA,,Launched,aromatic L-amino acid decarboxylase inhibitor,DDC,neurology/psychiatry,Parkinson's Disease
Carbidopa,,Launched,aromatic L-amino acid decarboxylase inhibitor,DDC,neurology/psychiatry,Parkinson's Disease
Carboplatin,,Launched,DNA alkylating agent|DNA inhibitor,,oncology,ovarian cancer
